20110505090000000000,67340,1,67370,71,20110505085901056702,924
20110505090000500000,67340,1,67370,52,20110505090001069283,1116
20110505090001000000,67370,10,67380,27,20110505090001362517,1456
20110505090001500000,67350,30,67370,3,20110505090001800123,1558
20110505090002000000,67380,30,67400,20,20110505090002372209,1676
20110505090002500000,67380,22,67400,12,20110505090002800053,1768
20110505090003000000,67350,146,67360,6,20110505090003282475,2126
20110505090003500000,67350,129,67380,16,20110505090003776219,2232
20110505090004000000,67360,31,67380,15,20110505090004309218,2288
20110505090004500000,67360,31,67380,15,20110505090004309218,2288
20110505090005000000,67380,25,67430,7,20110505090005284524,2406
20110505090005500000,67400,10,67430,7,20110505090005785760,2478
20110505090006000000,67400,9,67430,3,20110505090006285156,2496
20110505090006500000,67430,5,67450,24,20110505090006803497,2530
20110505090007000000,67430,12,67440,10,20110505090007294810,2594
20110505090007500000,67430,12,67440,10,20110505090007294810,2594
20110505090008000000,67440,2,67450,5,20110505090008292569,2686
20110505090008500000,67400,5,67440,6,20110505090008791344,2776
20110505090009000000,67450,20,67460,8,20110505090009281277,2812
20110505090009500000,67380,23,67400,44,20110505090009796668,2902
20110505090010000000,67370,56,67380,6,20110505090010303288,2966
20110505090010500000,67380,12,67400,62,20110505090010790035,3006
20110505090011000000,67370,50,67380,6,20110505090011294169,3054
20110505090011500000,67370,39,67380,20,20110505090011787171,3110
20110505090012000000,67370,34,67380,10,20110505090012288999,3140
20110505090012500000,67370,29,67400,47,20110505090012780625,3176
20110505090013000000,67360,39,67400,42,20110505090013304263,3252
20110505090013500000,67360,34,67370,1,20110505090013790925,3300
20110505090014000000,67380,58,67400,11,20110505090014295692,3386
20110505090014500000,67380,57,67400,7,20110505090014787169,3418
20110505090015000000,67380,51,67430,1,20110505090015295300,3446
20110505090015500000,67380,22,67430,1,20110505090015801422,3516
20110505090016000000,67360,4,67370,31,20110505090016284166,3646
20110505090016500000,67350,95,67370,33,20110505090016793793,3760
20110505090017000000,67350,70,67360,73,20110505090017304957,3814
20110505090017500000,67400,1,67420,2,20110505090017805114,4128
20110505090018000000,67370,16,67380,2,20110505090018284459,4144
20110505090018500000,67370,7,67380,5,20110505090018789919,4172
20110505090019000000,67350,63,67370,145,20110505090019286738,4214
20110505090019500000,67350,60,67370,81,20110505090019798602,4350
20110505090020000000,67350,55,67370,104,20110505090020294505,4442
20110505090020500000,67350,45,67370,51,20110505090020804261,4572
20110505090021000000,67350,15,67360,38,20110505090021303134,4644
20110505090021500000,67350,9,67360,33,20110505090021796925,4668
20110505090022000000,67340,6,67370,34,20110505090022306646,4824
20110505090022500000,67340,1,67350,37,20110505090022807858,4842
20110505090023000000,67310,15,67350,33,20110505090023303437,4882
20110505090023500000,67310,15,67350,31,20110505090023794514,4950
20110505090024000000,67350,8,67370,68,20110505090024291723,5106
20110505090024500000,67350,2,67370,67,20110505090024805722,5120
20110505090025000000,67350,1,67360,3,20110505090025283992,5132
20110505090025500000,67350,2,67370,63,20110505090025802974,5160
20110505090026000000,67340,17,67350,9,20110505090026309706,5196
20110505090026500000,67340,15,67350,3,20110505090026796010,5216
20110505090027000000,67340,14,67370,60,20110505090027310693,5246
20110505090027500000,67340,3,67350,1,20110505090027803137,5272
20110505090028000000,67360,6,67370,55,20110505090028298584,5288
20110505090028500000,67360,2,67370,99,20110505090028806605,5308
20110505090029000000,67360,6,67370,98,20110505090029311942,5312
20110505090029500000,67350,29,67370,98,20110505090029826668,5328
20110505090030000000,67350,79,67360,1,20110505090030333186,5332
20110505090030500000,67360,1,67370,94,20110505090030814276,5354
20110505090031000000,67350,73,67370,81,20110505090031307778,5394
20110505090031500000,67350,70,67360,1,20110505090031825918,5414
20110505090032000000,67350,85,67360,5,20110505090032330098,5436
20110505090032500000,67350,75,67370,91,20110505090032816843,5538
20110505090033000000,67360,11,67370,86,20110505090033328390,5586
20110505090033500000,67350,68,67370,73,20110505090033833273,5656
20110505090034000000,67350,64,67370,74,20110505090034245173,5666
20110505090034500000,67350,54,67370,48,20110505090034739270,5738
20110505090035000000,67360,19,67370,45,20110505090035237758,5758
20110505090035500000,67360,8,67370,10,20110505090035739862,5864
20110505090036000000,67360,8,67370,7,20110505090036249710,5870
20110505090036500000,67370,14,67380,7,20110505090036726507,5886
20110505090037000000,67370,21,67380,6,20110505090037241420,5890
20110505090037500000,67370,23,67390,12,20110505090037726372,5952
20110505090038000000,67380,32,67390,12,20110505090038248095,5954
20110505090038500000,67380,15,67390,9,20110505090038722832,5974
20110505090039000000,67370,48,67380,2,20110505090039252391,6048
20110505090039500000,67370,48,67400,31,20110505090039749796,6158
20110505090040000000,67390,1,67400,31,20110505090040254337,6182
20110505090040500000,67370,27,67400,25,20110505090040752481,6242
20110505090041000000,67390,1,67400,21,20110505090041252305,6276
20110505090041500000,67370,12,67380,2,20110505090041739026,6310
20110505090042000000,67380,42,67400,18,20110505090042241016,6334
20110505090042500000,67380,40,67400,18,20110505090042753520,6340
20110505090043000000,67380,62,67390,5,20110505090043224946,6362
20110505090043500000,67380,62,67390,1,20110505090043751530,6370
20110505090044000000,67400,62,67410,101,20110505090044248942,6408
20110505090044500000,67400,53,67410,101,20110505090044741879,6426
20110505090045000000,67400,45,67410,94,20110505090045242459,6460
20110505090045500000,67400,22,67410,94,20110505090045746685,6506
20110505090046000000,67390,20,67400,27,20110505090046262898,6600
20110505090046500000,67390,22,67400,33,20110505090046750548,6610
20110505090047000000,67390,17,67400,37,20110505090047249501,6636
20110505090047500000,67390,18,67400,35,20110505090047758225,6640
20110505090048000000,67390,11,67400,29,20110505090048239704,6666
20110505090048500000,67390,2,67400,29,20110505090048741832,6694
20110505090049000000,67380,109,67400,47,20110505090049253167,6708
20110505090049500000,67380,109,67400,27,20110505090049741290,6752
20110505090050000000,67380,107,67400,1,20110505090050265969,6900
20110505090050500000,67400,31,67410,68,20110505090050753556,7144
20110505090051000000,67400,24,67410,68,20110505090051247591,7160
20110505090051500000,67400,20,67410,67,20110505090051752489,7174
20110505090052000000,67400,13,67410,59,20110505090052261470,7204
20110505090052500000,67400,11,67410,59,20110505090052750594,7220
